[0.088s] Invoking command in '/workspaces/irobot_workspace/build/turtlebot3_gazebo': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /workspaces/irobot_workspace/build/turtlebot3_gazebo -- -j20 -l20
[0.141s] [35m[1mConsolidate compiler generated dependencies of target turtlebot3_drive[0m
[0.142s] [35m[1mConsolidate compiler generated dependencies of target obstacle2[0m
[0.147s] [ 12%] [32mBuilding CXX object CMakeFiles/obstacle1.dir/models/turtlebot3_dqn_world/obstacle_plugin/obstacle1.cc.o[0m
[0.149s] [ 25%] [32mBuilding CXX object CMakeFiles/obstacles.dir/models/turtlebot3_dqn_world/obstacle_plugin/obstacles.cc.o[0m
[0.156s] [ 50%] Built target turtlebot3_drive
[0.178s] [ 75%] Built target obstacle2
[10.976s] [ 87%] [32m[1mLinking CXX shared library libobstacles.so[0m
[10.980s] [100%] [32m[1mLinking CXX shared library libobstacle1.so[0m
[11.116s] [100%] Built target obstacle1
[11.117s] [100%] Built target obstacles
[11.122s] Invoked command in '/workspaces/irobot_workspace/build/turtlebot3_gazebo' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /workspaces/irobot_workspace/build/turtlebot3_gazebo -- -j20 -l20
[11.141s] Invoking command in '/workspaces/irobot_workspace/build/turtlebot3_gazebo': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /workspaces/irobot_workspace/build/turtlebot3_gazebo
[11.146s] -- Install configuration: "RelWithDebInfo"
[11.147s] -- Execute custom install script
[11.373s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo//worlds/turtlebot3_dqn_stage2.world
[11.377s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo//worlds/turtlebot3_dqn_stage3.world
[11.381s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo//worlds/turtlebot3_dqn_stage4.world
[11.385s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo//worlds/turtlebot3_house.world
[11.389s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo//worlds/turtlebot3_world.world
[11.393s] -- Symlinking: /workspaces/irobot_workspace/install/include//turtlebot3_gazebo/turtlebot3_drive.hpp
[11.398s] -- Symlinking: /workspaces/irobot_workspace/install/share/ament_index/resource_index/package_run_dependencies/turtlebot3_gazebo
[11.402s] -- Symlinking: /workspaces/irobot_workspace/install/share/ament_index/resource_index/parent_prefix_path/turtlebot3_gazebo
[11.406s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/environment/ament_prefix_path.sh
[11.410s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/environment/ament_prefix_path.dsv
[11.414s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/environment/path.sh
[11.417s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/environment/path.dsv
[11.421s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/local_setup.bash
[11.425s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/local_setup.sh
[11.430s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/local_setup.zsh
[11.434s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/local_setup.dsv
[11.438s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/package.dsv
[11.442s] -- Symlinking: /workspaces/irobot_workspace/install/share/ament_index/resource_index/packages/turtlebot3_gazebo
[11.446s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/cmake/ament_cmake_export_include_directories-extras.cmake
[11.450s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/cmake/ament_cmake_export_dependencies-extras.cmake
[11.454s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/cmake/turtlebot3_gazeboConfig.cmake
[11.458s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/cmake/turtlebot3_gazeboConfig-version.cmake
[11.462s] -- Symlinking: /workspaces/irobot_workspace/install/share/turtlebot3_gazebo/package.xml
[11.468s] Invoked command in '/workspaces/irobot_workspace/build/turtlebot3_gazebo' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /workspaces/irobot_workspace/build/turtlebot3_gazebo
